scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Koreaceratops,Koreaceratops,Korean horned face,Herbivore,2.0,250.0,1.0,Bipedal,Late Cretaceous,Asia (Korea),Ceratopsian dinosaur,2010,South Korea,Small frill and beak,Medium,https://en.wikipedia.org/wiki/Koreaceratops,721
Koreanosaurus,Koreanosaurus,Korean lizard,Herbivore,2.5,300.0,1.2,Bipedal,Late Cretaceous,Asia (Korea),Ornithopod dinosaur,2003,South Korea,"Lightly built, fast runner",Medium,https://en.wikipedia.org/wiki/Koreanosaurus,722
Koshisaurus,Koshisaurus,Kosshi lizard,Herbivore,3.5,300.0,1.2,Bipedal,Late Cretaceous,Asia (Japan),Ornithopod dinosaur,2004,Japan,Known from partial skeleton,Medium,https://en.wikipedia.org/wiki/Koshisaurus,723
Kosmoceratops,Kosmoceratops,Ornamented horned face,Herbivore,4.5,2000.0,1.8,Quadrupedal,Late Cretaceous,North America,Ceratopsid dinosaur,2010,USA,Elaborate skull ornamentation,Medium,https://en.wikipedia.org/wiki/Kosmoceratops,724
Kryptops,Kryptops,Hidden face,Carnivore,6.0,1500.0,2.0,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,2008,Niger,"Robust skull, early abelisaurid",Medium,https://en.wikipedia.org/wiki/Kryptops,725
Kukufeldia,Kukufeldia,Kuku (tribe) field lizard,Herbivore,2.0,150.0,0.8,Bipedal,Late Cretaceous,Europe,Euornithopod dinosaur,2016,Europe,"Small, agile herbivore",Medium,https://en.wikipedia.org/wiki/Kukufeldia,726
Kulceratops,Kulceratops,Kul horned face,Herbivore,3.0,500.0,1.0,Bipedal,Late Cretaceous,Asia (Kazakhstan),Ceratopsian dinosaur,1995,Kazakhstan,Partial skull fossils,Medium,https://en.wikipedia.org/wiki/Kulceratops,727
Kulindadromeus,Kulindadromeus,Kulinda runner,Herbivore,1.5,20.0,0.6,Bipedal,Early Jurassic,Asia (Russia),Ornithischian dinosaur with feathers,2014,Russia,Feathered dinosaur,Medium,https://en.wikipedia.org/wiki/Kulindadromeus,728
Kunbarrasaurus,Kunbarrasaurus,Kunbarra lizard,Herbivore,4.0,1800.0,1.4,Quadrupedal,Early Cretaceous,Oceania (Australia),Ankylosaurian dinosaur,1980,Australia,Armored body with club tail,Medium,https://en.wikipedia.org/wiki/Kunbarrasaurus,729
Kundurosaurus,Kundurosaurus,Kundur lizard,Herbivore,5.0,3500.0,1.5,Quadrupedal,Late Cretaceous,Asia (Russia),Hadrosaurid dinosaur,2010,Russia,"Large, duck-billed dinosaur",Medium,https://en.wikipedia.org/wiki/Kundurosaurus,730
Kunmingosaurus,Kunmingosaurus,Kunming lizard,Herbivore,8.0,10000.0,3.5,Quadrupedal,Jurassic,Asia (China),Sauropod dinosaur,1954,China,Long neck and tail,Low,https://en.wikipedia.org/wiki/Kunmingosaurus,731
Labocania,Labocania,Laboca lizard,Carnivore,7.0,1400.0,2.5,Bipedal,Late Cretaceous,North America,Theropod dinosaur,1976,Mexico,"Robust skull, large teeth",Medium,https://en.wikipedia.org/wiki/Labocania,732
Laevisuchus,Laevisuchus,Smooth crocodile,Carnivore,2.5,100.0,0.9,Bipedal,Late Cretaceous,Asia (India),Theropod dinosaur,1933,India,"Small, agile predator",Medium,https://en.wikipedia.org/wiki/Laevisuchus,733
Lagerpeton,Lagerpeton,Hunter of the hollow,Carnivore,1.0,10.0,0.4,Bipedal,Late Triassic,South America,"Proto-dinosaur, early dinosauromorph",1933,Argentina,Small reptile-like dinosaur ancestor,Low,https://en.wikipedia.org/wiki/Lagerpeton,734
Lagosuchus,Lagosuchus,Lake crocodile,Carnivore,1.0,15.0,0.5,Bipedal,Late Triassic,South America,Early dinosauromorph,1971,Argentina,"Lightly built, possible dinosaur ancestor",Low,https://en.wikipedia.org/wiki/Lagosuchus,735
Lajasvenator,Lajasvenator,Lajas hunter,Carnivore,4.0,200.0,1.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2013,Argentina,Medium-sized predator,Medium,https://en.wikipedia.org/wiki/Lajasvenator,736
Lamaceratops,Lamaceratops,Lama horned face,Herbivore,2.0,300.0,1.2,Bipedal,Late Cretaceous,Asia (China),Ceratopsian dinosaur,2002,China,Partial skull fossils,Medium,https://en.wikipedia.org/wiki/Lamaceratops,737
Lametasaurus,Lametasaurus,Lameta lizard,Herbivore,6.0,4000.0,2.5,Quadrupedal,Late Cretaceous,Asia (India),Ankylosaurid or theropod (uncertain),1923,India,Fragmentary fossils,Medium,https://en.wikipedia.org/wiki/Lametasaurus,738
Lamplughsaura,Lamplughsaura,Lamplugh's lizard,Herbivore,4.5,2000.0,2.0,Bipedal,Early Jurassic,Asia (India),Prosauropod dinosaur,1932,India,Primitive herbivore,Medium,https://en.wikipedia.org/wiki/Lamplughsaura,739
Lancanjiangosaurus,Lancanjiangosaurus,Lancang river lizard,Herbivore,6.0,3500.0,2.5,Bipedal,Late Jurassic,Asia (China),Sauropod dinosaur,1984,China,Known from vertebrae and limb bones,Medium,https://en.wikipedia.org/wiki/Lancanjiangosaurus,740
Lanzhousaurus,Lanzhousaurus,Lanzhou lizard,Herbivore,10.0,6000.0,3.0,Bipedal,Late Cretaceous,Asia (China),Hadrosaurid dinosaur,1986,China,"Large, duck-billed dinosaur",Medium,https://en.wikipedia.org/wiki/Lanzhousaurus,741
Laosaurus,Laosaurus,Stone lizard,Herbivore,2.0,100.0,0.7,Bipedal,Late Jurassic,North America,Ornithopod dinosaur,1878,USA,Small herbivore,Medium,https://en.wikipedia.org/wiki/Laosaurus,742
Lapampasaurus,Lapampasaurus,La Pampa lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Late Cretaceous titanosaur,Medium,https://en.wikipedia.org/wiki/Lapampasaurus,743
Laplatasaurus,Laplatasaurus,La Plata lizard,Herbivore,16.0,40000.0,5.0,Quadrupedal,Late Cretaceous,South America,Titanosaur sauropod,1929,Argentina,"Large, robust sauropod",Medium,https://en.wikipedia.org/wiki/Laplatasaurus,744
Laquintasaura,Laquintasaura,La Quinta lizard,Herbivore,1.5,15.0,0.5,Bipedal,Early Jurassic,South America,Ornithischian dinosaur,2014,Venezuela,"Small, early ornithischian",Medium,https://en.wikipedia.org/wiki/Laquintasaura,745
Latenivenatrix,Latenivenatrix,Hidden hunter,Carnivore,8.5,1000.0,2.5,Bipedal,Late Cretaceous,North America,Dromaeosaurid theropod,2013,Canada,Largest known troodontid,High,https://en.wikipedia.org/wiki/Latenivenatrix,746
Latirhinus,Latirhinus,Wide nose,Herbivore,6.5,4000.0,2.5,Bipedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2012,Mexico,Known for wide nasal structure,Medium,https://en.wikipedia.org/wiki/Latirhinus,747
Leinkupal,Leinkupal,"Leinkupal (""vanishing"")",Carnivore,9.0,1500.0,3.5,Bipedal,Late Cretaceous,South America,Titanosaurian theropod,2014,Argentina,Only known South American diplodocoid,Medium,https://en.wikipedia.org/wiki/Leinkupal,748
Leonerasaurus,Leonerasaurus,Leonera lizard,Herbivore,3.5,300.0,1.2,Bipedal,Early Jurassic,South America,Sauropodomorph dinosaur,2008,Argentina,Small basal sauropodomorph,Medium,https://en.wikipedia.org/wiki/Leonerasaurus,749
Leptorhynchos,Leptorhynchos,Slender beak,Herbivore,1.2,20.0,0.6,Bipedal,Late Cretaceous,North America,Caudipterygid oviraptorosaur,2009,USA,Small feathered dinosaur,Medium,https://en.wikipedia.org/wiki/Leptorhynchos,750
Leshansaurus,Leshansaurus,Leshan lizard,Carnivore,8.0,1000.0,2.5,Bipedal,Late Jurassic,Asia (China),Theropod dinosaur,2009,China,Large predator with robust build,Medium,https://en.wikipedia.org/wiki/Leshansaurus,751
Lessemsaurus,Lessemsaurus,Lessems lizard,Herbivore,12.0,7000.0,3.5,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,1999,Argentina,Early large sauropodomorph,Medium,https://en.wikipedia.org/wiki/Lessemsaurus,752
Levnesovia,Levnesovia,Levnesov's lizard,Herbivore,1.5,15.0,0.5,Bipedal,Late Cretaceous,Asia (Uzbekistan),Hadrosauroid dinosaur,2009,Uzbekistan,Small early hadrosauroid,Medium,https://en.wikipedia.org/wiki/Levnesovia,753
Lewisuchus,Lewisuchus,Lewis's crocodile,Carnivore,1.2,15.0,0.6,Bipedal,Late Triassic,South America,Pterosaur relative and early dinosauromorph,1964,Argentina,"Small, early dinosauriform",Medium,https://en.wikipedia.org/wiki/Lewisuchus,754
Lexovisaurus,Lexovisaurus,Lexovii lizard,Herbivore,6.0,3500.0,2.0,Quadrupedal,Late Jurassic,Europe,Stegosaurian dinosaur,1923,England,"Plated dinosaur, medium-sized",Medium,https://en.wikipedia.org/wiki/Lexovisaurus,755
Leyesaurus,Leyesaurus,Leyes lizard,Herbivore,3.5,400.0,1.0,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,2011,Argentina,Small early sauropodomorph,Medium,https://en.wikipedia.org/wiki/Leyesaurus,756
Liaoningosaurus,Liaoningosaurus,Liaoning lizard,Herbivore,1.2,30.0,0.7,Quadrupedal,Early Cretaceous,Asia (China),Ankylosaurian dinosaur,2007,China,Small armored dinosaur,Medium,https://en.wikipedia.org/wiki/Liaoningosaurus,757
Liassaurus,Liassaurus,Lias lizard,Herbivore,2.0,100.0,0.8,Bipedal,Early Jurassic,Europe,Plesiosaur genus (sometimes debated as dinosaur),1980,England,"Possible plesiosaur, uncertain",Unknown,https://en.wikipedia.org/wiki/Liassaurus,758
Ligabueino,Ligabueino,Ligabue's little one,Carnivore,1.0,10.0,0.5,Bipedal,Late Cretaceous,South America,Noasaurid theropod,1997,Argentina,"Small, lightly built predator",Medium,https://en.wikipedia.org/wiki/Ligabueino,759
Limaysaurus,Limaysaurus,Limay lizard,Herbivore,9.0,6000.0,3.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,1993,Argentina,Medium-sized titanosaur,Medium,https://en.wikipedia.org/wiki/Limaysaurus,760
Limusaurus,Limusaurus,Mud lizard,Omnivore,2.5,200.0,1.0,Bipedal,Late Jurassic,Asia (China),Small theropod dinosaur,2007,China,Unique herbivorous adaptations,Medium,https://en.wikipedia.org/wiki/Limusaurus,761
Lingwulong,Lingwulong,Lingwu dragon,Herbivore,9.0,4000.0,4.0,Quadrupedal,Early Jurassic,Asia (China),One of the earliest known diplodocoid sauropods,2018,China,Long-necked giant,Medium,https://en.wikipedia.org/wiki/Lingwulong,762
Linhenykus,Linhenykus,Linhe claw,Carnivore,1.0,3.0,0.3,Bipedal,Late Cretaceous,Asia (China),"Small, specialized alvarezsaurid",2010,China,Single large claw on hand,Medium,https://en.wikipedia.org/wiki/Linhenykus,763
Linheraptor,Linheraptor,Linhe thief,Carnivore,2.0,30.0,0.7,Bipedal,Late Cretaceous,Asia (China),Dromaeosaurid theropod,2010,China,Fast and agile predator,Medium,https://en.wikipedia.org/wiki/Linheraptor,764
Linhevenator,Linhevenator,Linhe hunter,Carnivore,2.5,30.0,0.8,Bipedal,Late Cretaceous,Asia (China),Dromaeosaurid dinosaur,2011,China,Short arms and strong claws,Medium,https://en.wikipedia.org/wiki/Linhevenator,765
Lirainosaurus,Lirainosaurus,Slender lizard,Herbivore,6.0,4000.0,3.5,Quadrupedal,Late Cretaceous,Europe (Spain),Titanosaurian sauropod,1999,Spain,Small European titanosaur,Medium,https://en.wikipedia.org/wiki/Lirainosaurus,766
Liubangosaurus,Liubangosaurus,Liubang lizard,Herbivore,10.0,7000.0,4.5,Quadrupedal,Late Cretaceous,Asia (China),Sauropod dinosaur,2007,China,Medium-sized titanosaur,Medium,https://en.wikipedia.org/wiki/Liubangosaurus,767
Loncosaurus,Loncosaurus,Chief lizard,Carnivore,1.5,10.0,0.7,Bipedal,Late Cretaceous,South America,Small theropod dinosaur,1939,Argentina,Fragmentary remains,Unknown,https://en.wikipedia.org/wiki/Loncosaurus,768
Loricatosaurus,Loricatosaurus,Armored lizard,Herbivore,6.0,2000.0,2.5,Quadrupedal,Early Cretaceous,Europe,Stegosaurian dinosaur,2008,UK,Heavily armored with plates,Medium,https://en.wikipedia.org/wiki/Loricatosaurus,769
Losillasaurus,Losillasaurus,Losilla lizard,Herbivore,15.0,10000.0,5.0,Quadrupedal,Late Jurassic,Europe (Spain),Sauropod dinosaur,1999,Spain,Large diplodocoid sauropod,Medium,https://en.wikipedia.org/wiki/Losillasaurus,770
Lourinhanosaurus,Lourinhanosaurus,Lourinhã lizard,Carnivore,7.0,500.0,2.5,Bipedal,Late Jurassic,Europe (Portugal),Tetanuran theropod dinosaur,1998,Portugal,Large predator of its time,Medium,https://en.wikipedia.org/wiki/Lourinhanosaurus,771
Lourinhasaurus,Lourinhasaurus,Lourinhã lizard,Herbivore,12.0,6000.0,4.0,Quadrupedal,Late Jurassic,Europe (Portugal),Sauropod dinosaur,1998,Portugal,Medium-sized diplodocoid,Medium,https://en.wikipedia.org/wiki/Lourinhasaurus,772
Luanchuanraptor,Luanchuanraptor,Luanchuan thief,Carnivore,3.0,50.0,1.0,Bipedal,Late Cretaceous,Asia (China),Dromaeosaurid theropod,2010,China,Fast and agile predator,Medium,https://en.wikipedia.org/wiki/Luanchuanraptor,773
Luoyanggia,Luoyanggia,Luoyang lizard,Herbivore,2.0,15.0,0.6,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2013,China,Small duck-billed dinosaur,Medium,https://en.wikipedia.org/wiki/Luoyanggia,774
Lusitanosaurus,Lusitanosaurus,Lusitanian lizard (Portugal region),Herbivore,3.5,200.0,1.0,Bipedal,Early Cretaceous,Europe (Portugal),Ornithopod dinosaur,2001,Portugal,Small herbivore,Unknown,https://en.wikipedia.org/wiki/Lusitanosaurus,775
Lythronax,Lythronax,Blood king,Carnivore,9.0,2500.0,3.0,Bipedal,Late Cretaceous,North America,Tyrannosaurid theropod,2013,USA,Powerful predator,High,https://en.wikipedia.org/wiki/Lythronax,776
Machaeroprosopus,Machaeroprosopus,Armored face,Carnivore,4.0,400.0,1.2,Quadrupedal,Late Triassic,North America,Phytosaur reptile (not dinosaur),1930,USA,Crocodile-like predator,Unknown,https://en.wikipedia.org/wiki/Machaeroprosopus,777
Machairasaurus,Machairasaurus,Sword lizard,Carnivore,1.5,15.0,0.5,Bipedal,Late Cretaceous,Asia (China),Alvarezsaurid theropod,2009,China,"Small, bird-like dinosaur",Medium,https://en.wikipedia.org/wiki/Machairasaurus,778
Macrogryphosaurus,Macrogryphosaurus,Large curved lizard,Herbivore,6.0,300.0,2.0,Bipedal,Late Cretaceous,South America,Iguanodontian ornithopod,2007,Argentina,Well-armored herbivore,Medium,https://en.wikipedia.org/wiki/Macrogryphosaurus,779
Macrurosaurus,Macrurosaurus,Long-tailed lizard,Herbivore,8.0,4000.0,3.5,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,1889,UK,Long-necked sauropod,Unknown,https://en.wikipedia.org/wiki/Macrurosaurus,780
Magnamanus,Magnamanus,Large hand,Herbivore,8.5,7000.0,3.0,Quadrupedal,Late Cretaceous,North America,Titanosaurian sauropod,2016,USA,Large long-necked herbivore,Medium,https://en.wikipedia.org/wiki/Magnamanus,781
Magnapaulia,Magnapaulia,Large Paulia,Herbivore,15.0,20000.0,5.0,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2012,USA,Large duck-billed dinosaur,Medium,https://en.wikipedia.org/wiki/Magnapaulia,782
Magnirostris,Magnirostris,Large beak,Carnivore,6.0,800.0,2.5,Bipedal,Late Cretaceous,Asia (China),Theropod dinosaur,2005,China,Notable large snout,Medium,https://en.wikipedia.org/wiki/Magnirostris,783
Magnosaurus,Magnosaurus,Large lizard,Carnivore,5.0,500.0,2.0,Bipedal,Early Jurassic,Europe,Allosauroid theropod,1923,UK,One of earliest large predators,Medium,https://en.wikipedia.org/wiki/Magnosaurus,784
Magulodon,Magulodon,Magula tooth,Herbivore,3.0,100.0,1.0,Bipedal,Late Jurassic,North America,Theropod dinosaur (disputed),1995,USA,Possibly herbivorous theropod,Unknown,https://en.wikipedia.org/wiki/Magulodon,785
Mahakala,Mahakala,Great Black One (Hindu deity),Carnivore,1.0,15.0,0.5,Bipedal,Late Cretaceous,Asia (Mongolia),Dromaeosaurid theropod,2006,Mongolia,"Small, bird-like predator",High,https://en.wikipedia.org/wiki/Mahakala,786
Malarguesaurus,Malarguesaurus,Malargüe lizard,Herbivore,18.0,13000.0,6.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2005,Argentina,Large sauropod with robust build,Medium,https://en.wikipedia.org/wiki/Malarguesaurus,787
Maleevus,Maleevus,Maleev's lizard,Carnivore,6.0,700.0,2.5,Bipedal,Late Cretaceous,Asia (Mongolia),Theropod dinosaur,1965,Mongolia,Medium-sized predator,Medium,https://en.wikipedia.org/wiki/Maleevus,788
Mandschurosaurus,Mandschurosaurus,Manchurian lizard,Herbivore,7.0,4000.0,3.5,Quadrupedal,Late Cretaceous,Asia (China),Hadrosaurid dinosaur,1929,China,Duck-billed herbivore,Medium,https://en.wikipedia.org/wiki/Mandschurosaurus,789
Manidens,Manidens,Hand tooth,Herbivore,1.0,10.0,0.3,Bipedal,Late Jurassic,Europe,Ornithischian dinosaur,2009,Argentina,"Small, early heterodontosaurid",Medium,https://en.wikipedia.org/wiki/Manidens,790
Mantellisaurus,Mantellisaurus,Mantell's lizard,Herbivore,6.0,1200.0,2.0,Bipedal,Early Cretaceous,Europe,Ornithopod dinosaur,2007,UK,Medium-sized herbivore,Medium,https://en.wikipedia.org/wiki/Mantellisaurus,791
Mantellodon,Mantellodon,Mantell's tooth,Herbivore,4.0,300.0,1.2,Bipedal,Late Cretaceous,Europe,Ornithopod dinosaur,2020,UK,Small herbivorous dinosaur,Unknown,https://en.wikipedia.org/wiki/Mantellodon,792
Marasuchus,Marasuchus,Maras crocodile,Carnivore,1.0,15.0,0.5,Bipedal,Late Triassic,South America,Archosaur ancestor,1986,Argentina,"Small, agile dinosaur precursor",Unknown,https://en.wikipedia.org/wiki/Marasuchus,793
Marisaurus,Marisaurus,Mari lizard,Herbivore,10.0,5000.0,4.5,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,1998,Argentina,Large sauropod,Unknown,https://en.wikipedia.org/wiki/Marisaurus,794
Martharaptor,Martharaptor,Martha thief,Carnivore,3.0,90.0,1.5,Bipedal,Late Jurassic,North America,Theropod dinosaur,2011,USA,Medium-sized raptor-like dinosaur,Unknown,https://en.wikipedia.org/wiki/Martharaptor,795
Matheronodon,Matheronodon,Matheron's tooth,Herbivore,6.0,1000.0,2.0,Bipedal,Late Cretaceous,Europe,Hadrosaurid dinosaur,2017,France,Known for robust teeth,Unknown,https://en.wikipedia.org/wiki/Matheronodon,796
Medusaceratops,Medusaceratops,Medusa horned face,Herbivore,6.5,2000.0,2.5,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2010,USA,Medium-sized horned dinosaur,Medium,https://en.wikipedia.org/wiki/Medusaceratops,797
Megacervixosaurus,Megacervixosaurus,Large neck lizard,Herbivore,12.0,8000.0,5.0,Quadrupedal,Late Cretaceous,Asia,Rebbachisaurid sauropod,1995,China,Large sauropod with long neck,Unknown,https://en.wikipedia.org/wiki/Megacervixosaurus,798
Megaraptor,Megaraptor,Large thief,Carnivore,8.0,1000.0,3.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,1998,Argentina,Large predator with long claws,High,https://en.wikipedia.org/wiki/Megaraptor,799
Mei,Mei,Sleeping dragon,Carnivore,0.7,5.0,0.3,Bipedal,Late Cretaceous,Asia (China),Dromaeosaurid theropod,2004,China,"Small, bird-like dinosaur",High,https://en.wikipedia.org/wiki/Mei,800
Mendozasaurus,Mendozasaurus,Mendoza lizard,Herbivore,18.0,40000.0,7.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,1996,Argentina,Giant long-necked dinosaur,Medium,https://en.wikipedia.org/wiki/Mendozasaurus,801
Mercuriceratops,Mercuriceratops,Mercury horned face,Herbivore,6.0,2000.0,2.5,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2014,USA,Known for unique skull ornamentation,Unknown,https://en.wikipedia.org/wiki/Mercuriceratops,802
Merosaurus,Merosaurus,Part lizard,Carnivore,3.0,100.0,1.2,Bipedal,Late Jurassic,Europe,Theropod dinosaur,1883,England,Small predatory dinosaur,Unknown,https://en.wikipedia.org/wiki/Merosaurus,803
Microcephale,Microcephale,Small head,Herbivore,0.6,2.5,0.2,Bipedal,Late Cretaceous,North America,Pachycephalosaurid dinosaur,1997,USA,Small dome-headed dinosaur,Unknown,https://en.wikipedia.org/wiki/Microcephale,804
Microceratops,Microceratops,Small horned face,Herbivore,1.0,15.0,0.5,Bipedal,Late Cretaceous,Asia (China),Ceratopsian dinosaur,1953,China,Small horned dinosaur,Unknown,https://en.wikipedia.org/wiki/Microceratops,805
Microcoelus,Microcoelus,Small hollow,Herbivore,6.0,500.0,2.0,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,1882,England,Medium-sized sauropod,Unknown,https://en.wikipedia.org/wiki/Microcoelus,806
Microdontosaurus,Microdontosaurus,Small toothed lizard,Carnivore,2.0,20.0,0.8,Bipedal,Late Jurassic,Europe,Theropod dinosaur,1900,England,Small predator dinosaur,Unknown,https://en.wikipedia.org/wiki/Microdontosaurus,807
Microhadrosaurus,Microhadrosaurus,Small hadrosaur,Herbivore,4.0,300.0,1.5,Bipedal,Late Cretaceous,Asia (China),Hadrosaurid dinosaur,1979,China,Small duck-billed dinosaur,Unknown,https://en.wikipedia.org/wiki/Microhadrosaurus,808
Microvenator,Microvenator,Small hunter,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,1938,USA,Small predatory dinosaur,Medium,https://en.wikipedia.org/wiki/Microvenator,809
Minotaurasaurus,Minotaurasaurus,Minotaur lizard,Herbivore,4.5,900.0,2.0,Quadrupedal,Late Cretaceous,Asia (China),Ankylosaurid dinosaur,2009,China,Armored dinosaur with tail club,Unknown,https://en.wikipedia.org/wiki/Minotaurasaurus,810
Miragaia,Miragaia,Miragaia (place name),Herbivore,6.5,3000.0,2.0,Bipedal,Late Jurassic,Europe,Stegosaurid dinosaur with long neck,2009,Portugal,Known for extended neck plates,Medium,https://en.wikipedia.org/wiki/Miragaia,811
Mirischia,Mirischia,Mirischia (name origin unclear),Carnivore,1.5,30.0,0.7,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2005,Brazil,"Small, bird-like predator",Unknown,https://en.wikipedia.org/wiki/Mirischia,812
Moabosaurus,Moabosaurus,Moab lizard,Herbivore,10.0,9000.0,4.0,Quadrupedal,Late Cretaceous,North America,Titanosaurian sauropod,2005,USA,Large sauropod with robust limbs,Unknown,https://en.wikipedia.org/wiki/Moabosaurus,813
Mochlodon,Mochlodon,Barrel tooth,Herbivore,3.0,200.0,1.2,Bipedal,Late Cretaceous,Europe,Hadrosaurid dinosaur,1859,Austria,Medium-sized duck-billed dinosaur,Unknown,https://en.wikipedia.org/wiki/Mochlodon,814
Mojoceratops,Mojoceratops,Mojo horned face,Herbivore,5.5,2000.0,2.5,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,2008,USA,Closely related to Chasmosaurus,Unknown,https://en.wikipedia.org/wiki/Mojoceratops,815
Mongolosaurus,Mongolosaurus,Mongolian lizard,Herbivore,8.0,4000.0,3.0,Quadrupedal,Late Cretaceous,Asia (China),Titanosaurian sauropod,1953,China,Large sauropod with robust build,Unknown,https://en.wikipedia.org/wiki/Mongolosaurus,816
Monkonosaurus,Monkonosaurus,Monkon lizard,Herbivore,5.0,3000.0,2.5,Quadrupedal,Late Cretaceous,Asia (China),Ankylosaurid dinosaur,1990,China,Armored dinosaur with club tail,Unknown,https://en.wikipedia.org/wiki/Monkonosaurus,817
Monoclonius,Monoclonius,Single sprout,Herbivore,5.5,2000.0,2.0,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1876,USA,Closely related to Centrosaurus,Unknown,https://en.wikipedia.org/wiki/Monoclonius,818
Montanoceratops,Montanoceratops,Montana horned face,Herbivore,4.5,1500.0,1.5,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1958,USA,Small horned dinosaur,Unknown,https://en.wikipedia.org/wiki/Montanoceratops,819
Morelladon,Morelladon,Morella tooth,Carnivore,6.0,1500.0,2.0,Bipedal,Late Cretaceous,Europe,Spinosaurid dinosaur,2011,Spain,Medium-sized spinosaur with sail,Unknown,https://en.wikipedia.org/wiki/Morelladon,820
Morinosaurus,Morinosaurus,Morino lizard,Herbivore,8.0,3000.0,3.0,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,1915,France,Known from partial remains,Unknown,https://en.wikipedia.org/wiki/Morinosaurus,821
Moros,Moros,Doom,Carnivore,3.0,78.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2019,USA,Small tyrannosauroid,Medium,https://en.wikipedia.org/wiki/Moros,822
Morrosaurus,Morrosaurus,Hill lizard,Herbivore,2.0,200.0,1.0,Bipedal,Late Cretaceous,Antarctica,Ornithopod dinosaur,2016,Antarctica,Small herbivorous dinosaur,Unknown,https://en.wikipedia.org/wiki/Morrosaurus,823
Mosaiceratops,Mosaiceratops,Mosaic horned face,Herbivore,2.0,200.0,1.0,Bipedal,Late Cretaceous,Asia (China),Ceratopsian dinosaur,2015,China,Primitive ceratopsian,Unknown,https://en.wikipedia.org/wiki/Mosaiceratops,824
Muyelensaurus,Muyelensaurus,Muyelen lizard,Herbivore,18.0,4000.0,6.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2007,Argentina,Medium-sized titanosaur,Unknown,https://en.wikipedia.org/wiki/Muyelensaurus,825
Mymoorapelta,Mymoorapelta,My Moor shield,Herbivore,4.5,600.0,2.0,Quadrupedal,Late Jurassic,North America,Ankylosaurid dinosaur,1994,USA,Small armored dinosaur,Unknown,https://en.wikipedia.org/wiki/Mymoorapelta,826
Naashoibitosaurus,Naashoibitosaurus,Naashoibito lizard,Herbivore,7.0,3000.0,2.5,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1996,USA,Medium-sized horned dinosaur,Unknown,https://en.wikipedia.org/wiki/Naashoibitosaurus,827
Nambalia,Nambalia,Nambal lizard,Herbivore,4.0,200.0,1.0,Bipedal,Early Jurassic,Asia (India),Basal sauropodomorph,2007,India,Early relative of sauropods,Unknown,https://en.wikipedia.org/wiki/Nambalia,828
Nankangia,Nankangia,Nankang lizard,Omnivore,1.5,30.0,0.8,Bipedal,Late Cretaceous,Asia (China),Theropod dinosaur,2013,China,Small feathered dinosaur,Unknown,https://en.wikipedia.org/wiki/Nankangia,829
Nanningosaurus,Nanningosaurus,Nanning lizard,Herbivore,3.0,150.0,1.0,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2007,China,Medium-sized hadrosaur,Unknown,https://en.wikipedia.org/wiki/Nanningosaurus,830
Nanosaurus,Nanosaurus,Dwarf lizard,Herbivore,2.0,20.0,0.6,Bipedal,Late Jurassic,North America,Small ornithischian dinosaur,1877,USA,One of the earliest small ornithopods,Unknown,https://en.wikipedia.org/wiki/Nanosaurus,831
Nanotyrannus,Nanotyrannus,Dwarf tyrant,Carnivore,4.0,500.0,1.5,Bipedal,Late Cretaceous,North America,Tyrannosaurid theropod (debated),1946,USA,Possibly juvenile T. rex,Unknown,https://en.wikipedia.org/wiki/Nanotyrannus,832
